,,2021-10-15 07:39:10 CEST,2021-10-21 19:46:15 CEST,2021-10-28 08:05:08 CEST,2021-10-29 16:22:24 CEST,2021-11-08 19:57:07 CET,2021-11-12 21:14:45 CET
ConcurrencySafety-Main,,0,0,0,0,0,0
ReachSafety-Arrays,,129.9474,51.0601999999998,62.6477999999998,63.7009999999998,119.2701,232.8328
ReachSafety-BitVectors,,28.9799,28.1926,28.055,27.8554,38.2042,43.5756
ReachSafety-Combinations,,17.6011,17.007,17.007,17.007,35.4851,
ReachSafety-ControlFlow,,22.0493,28.3008,28.0827,28.2736,41.4422,41.3463
ReachSafety-ECA,,2.2117,2.5052,2.8264,2.824,3.0274,3.0512
ReachSafety-Floats,,3.3125,2.8917,2.8917,2.8917,0.75,0.8066
ReachSafety-Heap,,83.5999,54.0867,37.0964,36.2631,45.4451,77.49
ReachSafety-Loops,,240.4257,186.0867,157.8711,156.738,351.7037,421.0691
ReachSafety-ProductLines,,71.8137,71.5443,72.1975,72.2077,74.5668,74.6085
ReachSafety-Recursive,,30.9476,18.4496,14.2421,13.8652,16.0952,26.7229
ReachSafety-Sequentialized,,19.4689,0,0,0,48.4635,48.3161
ReachSafety-XCSP,,79.3373000000001,0,0,0,110.9674,105.0928
SoftwareSystems-BusyBox-MemSafety,,0.3534,0.3534,0.3534,0.3534,0,0.4307
SoftwareSystems-DeviceDriversLinux64-ReachSafety,,55.3361000000001,16.9818,14.4923,14.4014,14.6512,46.6030999999999
SoftwareSystems-SQLite-MemSafety,,0,0,0,0,0.0001,0.0245
Termination-MainHeap,,140.8021,90.6778,78.7517,79.1944,115.959,128.4858
,,840.912710307338,511.987949116026,465.291335452107,463.376757223823,933.520697062873,1072.75449834398
